"","L","H","rho","tau","label","names"
"simple",0.333333333333333,1,"-0.5","0.1","simple","Simple bounds"
"unobserved",0.333333333333333,0.333333333333333,"-0.5","0.1","unobserved","Unobserved mediators"
"monotone",0.333333333333333,0.333333333333333,"-0.5","0.1","monotone","Monotonic"
"two_step_homog",0.456225515285379,1,"-0.5","0.1","two_step_homog","Two step homogeneous"
"inifinte_homog",0.599484250318941,1,"-0.5","0.1","inifinte_homog","Infinite step homogeneous"
"best_lower",0.8,0.8,"-0.5","0.1","best_lower","Best (positive) mediator"
"best_cov_un",1,1,"-0.5","0.1","best_cov_un","Best (unobserved) covariate"
"best_cov_ob",1,1,"-0.5","0.1","best_cov_ob","Best (observed) covariate"
"simple1",0.666666666666667,1,"-0.5","0.25","simple","Simple bounds"
"unobserved1",0.666666666666667,0.666666666666667,"-0.5","0.25","unobserved","Unobserved mediators"
"monotone1",0.666666666666667,0.666666666666667,"-0.5","0.25","monotone","Monotonic"
"two_step_homog1",0.73469387755102,1,"-0.5","0.25","two_step_homog","Two step homogeneous"
"inifinte_homog1",0.7937005259841,1,"-0.5","0.25","inifinte_homog","Infinite step homogeneous"
"best_lower1",0.875,0.875,"-0.5","0.25","best_lower","Best (positive) mediator"
"best_cov_un1",1,1,"-0.5","0.25","best_cov_un","Best (unobserved) covariate"
"best_cov_ob1",1,1,"-0.5","0.25","best_cov_ob","Best (observed) covariate"
"simple2",0.181818181818182,1,"0","0.1","simple","Simple bounds"
"unobserved2",0.181818181818182,0.181818181818182,"0","0.1","unobserved","Unobserved mediators"
"monotone2",0.181818181818182,0.181818181818182,"0","0.1","monotone","Monotonic"
"two_step_homog2",0.230886157020407,1,"0","0.1","two_step_homog","Two step homogeneous"
"inifinte_homog2",0.316227766016838,1,"0","0.1","inifinte_homog","Infinite step homogeneous"
"best_lower2",0.55,0.55,"0","0.1","best_lower","Best (positive) mediator"
"best_cov_un2",1,1,"0","0.1","best_cov_un","Best (unobserved) covariate"
"best_cov_ob2",1,1,"0","0.1","best_cov_ob","Best (observed) covariate"
"simple11",0.4,1,"0","0.25","simple","Simple bounds"
"unobserved11",0.4,0.4,"0","0.25","unobserved","Unobserved mediators"
"monotone11",0.4,0.4,"0","0.25","monotone","Monotonic"
"two_step_homog11",0.444444444444444,1,"0","0.25","two_step_homog","Two step homogeneous"
"inifinte_homog11",0.5,1,"0","0.25","inifinte_homog","Infinite step homogeneous"
"best_lower11",0.625,0.625,"0","0.25","best_lower","Best (positive) mediator"
"best_cov_un11",1,1,"0","0.25","best_cov_un","Best (unobserved) covariate"
"best_cov_ob11",1,1,"0","0.25","best_cov_ob","Best (observed) covariate"
"simple3",0.125,0.375,"0.5","0.1","simple","Simple bounds"
"unobserved3",0.125,0.125,"0.5","0.1","unobserved","Unobserved mediators"
"monotone3",0.125,0.125,"0.5","0.1","monotone","Monotonic"
"two_step_homog3",0.139045344826915,0.304773275865423,"0.5","0.1","two_step_homog","Two step homogeneous"
"inifinte_homog3",0.166810053720006,0.278255940220713,"0.5","0.1","inifinte_homog","Infinite step homogeneous"
"best_lower3",0.3,0.3,"0.5","0.1","best_lower","Best (positive) mediator"
"best_cov_un3",0.375,0.375,"0.5","0.1","best_cov_un","Best (unobserved) covariate"
"best_cov_ob3",1,1,"0.5","0.1","best_cov_ob","Best (observed) covariate"
"simple12",0.285714285714286,0.428571428571429,"0.5","0.25","simple","Simple bounds"
"unobserved12",0.285714285714286,0.285714285714286,"0.5","0.25","unobserved","Unobserved mediators"
"monotone12",0.285714285714286,0.285714285714286,"0.5","0.25","monotone","Monotonic"
"two_step_homog12",0.297520661157025,0.404958677685951,"0.5","0.25","two_step_homog","Two step homogeneous"
"inifinte_homog12",0.314980262473718,0.39685026299205,"0.5","0.25","inifinte_homog","Infinite step homogeneous"
"best_lower12",0.375,0.375,"0.5","0.25","best_lower","Best (positive) mediator"
"best_cov_un12",0.428571428571429,0.428571428571429,"0.5","0.25","best_cov_un","Best (unobserved) covariate"
"best_cov_ob12",1,1,"0.5","0.25","best_cov_ob","Best (observed) covariate"
